               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,             0.01562,           0.0099501,            0.017096,             0.90445,             0.89198,             0.95993,             0.81081,           0.0066906,           0.0023125,           0.0041089,           0.0086338,           0.0086338,           0.0086338
                 140,            0.014966,           0.0099258,            0.016464,             0.92367,              0.9279,             0.97747,             0.82616,           0.0066205,           0.0022612,           0.0027307,           0.0086239,           0.0086239,           0.0086239
                 141,            0.015024,            0.010183,            0.017173,              0.9424,             0.90021,             0.97177,             0.82828,            0.006799,           0.0023275,           0.0029802,            0.008614,            0.008614,            0.008614
                 142,            0.015744,            0.009806,            0.017244,             0.91126,             0.93169,             0.97304,             0.82338,           0.0068514,            0.002314,           0.0038056,           0.0086041,           0.0086041,           0.0086041
                 143,            0.015661,             0.01007,            0.017352,              0.9283,             0.89883,             0.96469,             0.81897,           0.0065407,           0.0023451,           0.0030474,           0.0085942,           0.0085942,           0.0085942
                 144,            0.015626,           0.0096245,            0.016651,             0.94399,             0.89238,             0.97378,             0.82342,           0.0069954,           0.0022523,           0.0040997,           0.0085843,           0.0085843,           0.0085843
                 145,            0.015949,           0.0098959,            0.017704,             0.93705,             0.91474,             0.97361,             0.83449,           0.0072542,           0.0022358,           0.0032532,           0.0085744,           0.0085744,           0.0085744
                 146,            0.013988,           0.0097284,            0.015053,             0.92538,             0.92119,             0.97309,             0.82867,           0.0071568,           0.0022532,           0.0028645,           0.0085645,           0.0085645,           0.0085645
                 147,            0.015169,           0.0098371,            0.017632,             0.93329,             0.91683,             0.97426,              0.8377,           0.0063702,           0.0022209,           0.0026336,           0.0085546,           0.0085546,           0.0085546
                 148,            0.014301,           0.0097007,            0.016141,             0.92723,             0.91036,             0.96817,             0.83332,           0.0067196,           0.0022727,           0.0032251,           0.0085447,           0.0085447,           0.0085447
                 149,            0.013813,           0.0099774,            0.016123,                0.94,             0.92937,             0.97339,             0.82133,           0.0067807,            0.002312,           0.0029916,           0.0085348,           0.0085348,           0.0085348
                 150,            0.014943,           0.0097016,            0.016539,             0.93531,             0.92553,             0.97272,             0.83305,           0.0067523,           0.0022764,           0.0028187,           0.0085249,           0.0085249,           0.0085249
                 151,            0.014457,           0.0096929,            0.016266,             0.94485,             0.90619,             0.97515,             0.83454,           0.0068353,           0.0022405,            0.003199,            0.008515,            0.008515,            0.008515
                 152,            0.014782,            0.010046,            0.016513,             0.92217,             0.93142,             0.97549,             0.83117,           0.0066422,           0.0022678,           0.0024992,           0.0085051,           0.0085051,           0.0085051
